	SPOKE	EHR
1112	DB00956	82576
1113	DB00956	234574
1114	DB00956	235736
1115	DB00956	246989
1116	DB00956	246986
1117	DB00956	246984
1118	DB00956	246982
1119	DB00956	29440
1120	DB00956	229401
1121	DB00956	234761
1122	DB00956	21934
1123	DB00956	21935
1124	DB00956	229529
1125	DB00956	81994
1126	DB00956	77663
1127	DB00956	13673
1128	DB00956	4576
1129	DB00956	24574
1130	DB00956	24573
1131	DB00956	24572
1132	DB00956	36778
1133	DB00956	14668
1134	DB00956	14662
1135	DB00956	42990
1136	DB00956	255093
1137	DB00956	255092
1138	DB00956	3040
1139	DB00956	29049
1140	DB00956	77430
1141	DB00956	77437
1142	DB00956	77884
1143	DB00956	243139
1144	DB00956	243138
1145	DB00956	243135
1146	DB00956	243134
1147	DB00956	243137
1148	DB00956	243136
1149	DB00956	243131
1150	DB00956	243130
1151	DB00956	243133
1152	DB00956	243132
1153	DB00956	174903
1154	DB00956	28974
1155	DB00956	43188
1156	DB00956	42633
1157	DB00956	42635
1158	DB00956	210773
1159	DB00956	42639
1160	DB00956	210771
1161	DB00956	210770
1162	DB00956	210776
1163	DB00956	210775
1164	DB00956	236493
1165	DB00956	28555
1166	DB00956	252703
1167	DB00956	29432
1168	DB00956	36546
1169	DB00956	34946
1170	DB00956	40307
1171	DB00956	40305
1172	DB00956	19347
1173	DB00956	78253
1174	DB00956	78252
1175	DB00956	78254
1176	DB00956	10206
1177	DB00956	10207
1178	DB00956	10204
1179	DB00956	10205
1180	DB00956	18007
1181	DB00956	7005
1182	DB00956	7007
1183	DB00956	7006
1184	DB00956	8432
1185	DB00956	36896
1186	DB00956	36893
1187	DB00956	36892
1188	DB00956	36899
1189	DB00956	234274
1190	DB00956	70841
1191	DB00956	39030
1192	DB00956	88699
1193	DB00956	11884
1194	DB00956	20199
1195	DB00956	28797
1196	DB00956	28790
1197	DB00956	8576
1198	DB00956	8577
1199	DB00956	8578
1200	DB00956	227698
1201	DB00956	230721
1202	DB00956	2312
1203	DB00956	2313
1204	DB00956	43698
1205	DB00956	43694
1206	DB00956	29369
1207	DB00956	32006
1208	DB00956	38637
1209	DB00956	38636
1210	DB00956	228216
1211	DB00956	43155
1212	DB00956	198689
1213	DB00956	198686
1214	DB00956	157009
1215	DB00956	254135
1216	DB00956	34505
1217	DB00956	253067
1218	DB00956	35679
1219	DB00956	36599
1220	DB00956	229041
1221	DB00956	38392
1222	DB00956	12046
1223	DB00956	12047
1224	DB00956	14831
1225	DB00956	14832
1226	DB00956	95860
1227	DB00956	109239
1228	DB00956	214700
1229	DB00956	27072
1230	DB00956	246990
1231	DB00956	103474
1232	DB00956	70612
1233	DB00956	231222
1234	DB00956	257372
1235	DB00956	257373
1236	DB00956	214870
1237	DB00956	43710
1238	DB00956	43716
1239	DB00956	246981
1240	DB00956	10968
1241	DB00956	253095
1242	DB00956	253094
1243	DB00956	227647
1244	DB00956	12791
1245	DB00956	228101
1246	DB00956	243148
1247	DB00956	243149
1248	DB00956	243144
1249	DB00956	243145
1250	DB00956	243146
1251	DB00956	243147
1252	DB00956	243140
1253	DB00956	243141
1254	DB00956	243142
1255	DB00956	243143
1256	DB00956	235132
1257	DB00956	236443
1258	DB00956	3724
1259	DB00956	3723
1260	DB00956	238002
1261	DB00956	231567
